state,x,y
Andhra Pradesh,-69,-171
Arunachal Pradesh,239,142
Assam,212,94
Bihar,66,66
Chhattisgarh,-10,-24
Goa,-181,-160
Gujarat,-222,15
Haryana,-120,149
Himachal Pradesh,-104,212
Jharkhand,58,22
Karnataka,-137,-182
Kerala,-125,-279
Madhya Pradesh,-92,15
Maharashtra,-146,-73
Manipur,239,60
Meghalaya,175,74
Mizoram,219,28
Nagaland,250,93
Odisha,44,-40
Punjab,-137,186
Rajasthan,-168,94
Sikkim,122,117
Tamil Nadu,-79,-251
Telangana,-68,-104
Tripura,195,35
Uttar Pradesh,-34,98
Uttarakhand,-63,166
West Bengal,117,8
Jammu & Kashmir,-147,254
Ladakh,-106,277
